,cinahl_no,medline_no,cinahl_title,medline_title,cinahl_author,medline_author,not_dup
545,931,27816,Can we predict poor recovery from recent-onset nonspecific low back pain? A systematic review.,Can we predict poor recovery from recent-onset nonspecific low back pain? A systematic review.,"Kent PM; Keating JL; Manual Therapy, 2008 Feb; 13 (1): 12-28. (journal article - research, systematic review, tables/charts) ISSN: 1356-689X PMID: 17658288 CINAHL AN: 200986206","Kent PM(1), Keating JL.",
546,932,27728,Genetic variants of glutathione S-transferase as possible risk factors for hepatocellular carcinoma: a HuGE systematic review and meta-analysis.,Genetic variants of glutathione S-transferase as possible risk factors for hepatocellular carcinoma: a HuGE systematic review and meta-analysis.,"White DL; Li D; Nurgalieva Z; El-Serag HB; American Journal of Epidemiology, 2008 Feb 15; 167 (4): 377-89. (journal article - research, systematic review, tables/charts) ISSN: 0002-9262 PMID: 18065725 CINAHL AN: 200981895","White DL(1), Li D, Nurgalieva Z, El-Serag HB.",
547,933,27637,Systematic review and meta-analyses of strategies targeting alcohol problems in emergency departments: interventions reduce alcohol-related injuries.,Systematic review and meta-analyses of strategies targeting alcohol problems in emergency departments: interventions reduce alcohol-related injuries.,"Havard A; Shakeshaft A; Sanson-Fisher R; Addiction, 2008 Mar; 103 (3): 368-76. (journal article - research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 18190671 CINAHL AN: 200980179","Havard A(1), Shakeshaft A, Sanson-Fisher R.",
548,937,27638,"Glycemic index, glycemic load, and chronic disease risk--a meta-analysis of observational studies.","Glycemic index, glycemic load, and chronic disease risk--a meta-analysis of observational studies.","Barclay AW; Petocz P; McMillan-Price J; Flood VM; Prvan T; Mitchell P; Brand-Miller JC; American Journal of Clinical Nutrition, 2008 Mar; 87 (3): 627-37. (journal article - research, systematic review) ISSN: 0002-9165 PMID: 18326601 CINAHL AN: 200987640","Barclay AW(1), Petocz P, McMillan-Price J, Flood VM, Prvan T, Mitchell P, Brand-Miller JC.",
549,939,27655,Diagnostic value of CT for deep vein thrombosis: results of a systematic review and meta-analysis.,Diagnostic value of CT for deep vein thrombosis: results of a systematic review and meta-analysis.,"Thomas SM; Goodacre SW; Sampson FC; van Beek EJ; Clinical Radiology, 2008 Mar; 63 (3): 299-304. (journal article - research, systematic review) ISSN: 0009-9260 PMID: 18275870 CINAHL AN: 200987100","Thomas SM(1), Goodacre SW, Sampson FC, van Beek EJ.",
550,941,27660,Lack of association between diagnostic and therapeutic delay and stage of colorectal cancer.,Lack of association between diagnostic and therapeutic delay and stage of colorectal cancer.,"Ramos M; Esteva M; Cabeza E; Llobera J; Ruiz A; European Journal of Cancer, 2008 Mar; 44 (4): 510-21. (journal article - research, systematic review) ISSN: 0959-8049 PMID: 18272362 CINAHL AN: 200998119","Ramos M(1), Esteva M, Cabeza E, Llobera J, Ruiz A.",
551,942,27666,Incidence of esophageal adenocarcinoma in patients with Barrett's esophagus and high-grade dysplasia: a meta-analysis.,Incidence of esophageal adenocarcinoma in patients with Barrett's esophagus and high-grade dysplasia: a meta-analysis.,"Rastogi A; Puli S; El-Serag HB; Bansal A; Wani S; Sharma P; Gastrointestinal Endoscopy, 2008 Mar; 67 (3): 394-8. (journal article - research, systematic review, tables/charts) ISSN: 0016-5107 PMID: 18045592 CINAHL AN: 200982755","Rastogi A(1), Puli S, El-Serag HB, Bansal A, Wani S, Sharma P.",
552,944,27681,Efficacy of prone ventilation in adult patients with acute respiratory failure: a meta-analysis.,Efficacy of prone ventilation in adult patients with acute respiratory failure: a meta-analysis.,"Tiruvoipati R; Bangash M; Manktelow B; Peek GJ; Journal of Critical Care, 2008 Mar; 23 (1): 101-10. (journal article - research, systematic review, tables/charts) ISSN: 0883-9441 PMID: 18359427 CINAHL AN: 200989309","Tiruvoipati R(1), Bangash M, Manktelow B, Peek GJ.",
553,945,27687,Reduced subgenual cingulate volumes in mood disorders: a meta-analysis.,Reduced subgenual cingulate volumes in mood disorders: a meta-analysis.,"Hajek T; Kozeny J; Kopecek M; Alda M; HÃ¶schl C; Journal of Psychiatry & Neuroscience, 2008 Mar; 33 (2): 91-9. (journal article - research, systematic review, tables/charts) ISSN: 1180-4882 PMID: 18330455 CINAHL AN: 200985482","Hajek T(1), Kozeny J, Kopecek M, Alda M, HÃ¶schl C.",
554,947,27691,Complex interventions to improve physical function and maintain independent living in elderly people: a systematic review and meta-analysis.,Complex interventions to improve physical function and maintain independent living in elderly people: a systematic review and meta-analysis.,"Beswick AD; Rees K; Dieppe P; Ayis S; Gooberman-Hill R; Horwood J; Ebrahim S; Lancet, 2008 Mar 1-7; 371 (9614): 725-35. (journal article - research, systematic review) ISSN: 0099-5355 PMID: 18313501 CINAHL AN: 200998943","Beswick AD(1), Rees K, Dieppe P, Ayis S, Gooberman-Hill R, Horwood J, Ebrahim S.",
555,948,27692,Association between maternal infections and preeclampsia: a systematic review of epidemiologic studies.,Association between maternal infections and preeclampsia: a systematic review of  epidemiologic studies.,"Rustveld L; Kelsey S; Sharma R; Maternal & Child Health Journal, 2008 Mar; 12 (2): 223-42. (journal article - research, systematic review, tables/charts) ISSN: 1092-7875 PMID: 17577649 CINAHL AN: 200977098","Rustveld LO(1), Kelsey SF, Sharma R.",
556,950,27700,Effects of asthma education on children's use of acute care services: a meta-analysis.,Effects of asthma education on children's use of acute care services: a meta-analysis.,"Coffman JM; Cabana MD; Halpin HA; Yelin EH; Pediatrics, 2008 Mar; 121 (3): 575-86. (journal article - research, systematic review, tables/charts) ISSN: 0031-4005 PMID: 18310208 CINAHL AN: 200988265","Coffman JM(1), Cabana MD, Halpin HA, Yelin EH.",
557,951,24969,Meta-analysis of depression and substance use and impairment among intravenous drug users (IDUs).,Meta-analysis of depression and substance use among individuals with alcohol use  disorders.,"Conner KR; Pinquart M; Duberstein PR; Addiction, 2008 Apr; 103 (4): 524-34. (journal article - research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 18261192 CINAHL AN: 200987153","Conner KR(1), Pinquart M, Gamble SA.",x
558,952,27527,Sexual orientation and adolescent substance use: a meta-analysis and methodological review.,Sexual orientation and adolescent substance use: a meta-analysis and methodological review.,"Marshal MP; Friedman MS; Stall R; King KM; Miles J; Gold MA; Bukstein OG; Morse JQ; Addiction, 2008 Apr; 103 (4): 546-56. (journal article - research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 18339100 CINAHL AN: 200987154","Marshal MP(1), Friedman MS, Stall R, King KM, Miles J, Gold MA, Bukstein OG, Morse JQ.",
559,953,27526,Nicotine patch therapy prior to quitting smoking: a meta-analysis.,Nicotine patch therapy prior to quitting smoking: a meta-analysis.,"Shiffman S; Ferguson SG; Addiction, 2008 Apr; 103 (4): 557-63. (journal article - research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 18339101 CINAHL AN: 200987154","Shiffman S(1), Ferguson SG.",
560,954,27525,Self-help smoking cessation interventions in pregnancy: a systematic review and meta-analysis.,Self-help smoking cessation interventions in pregnancy: a systematic review and meta-analysis.,"Naughton F; Prevost AT; Sutton S; Addiction, 2008 Apr; 103 (4): 566-79. (journal article - research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 18339103 CINAHL AN: 200987154","Naughton F(1), Prevost AT, Sutton S.",
561,955,27533,Glutathione S-transferase M1 (GSTM1) polymorphisms and lung cancer: a literature-based systematic HuGE review and meta-analysis.,Glutathione S-transferase M1 (GSTM1) polymorphisms and lung cancer: a literature-based systematic HuGE review and meta-analysis.,"Carlsten C; Sagoo GS; Frodsham AJ; Burke W; Higgins JPT; American Journal of Epidemiology, 2008 Apr 1; 167 (7): 759-74. (journal article - research, systematic review, tables/charts) ISSN: 0002-9262 PMID: 18270371 CINAHL AN: 200989534","Carlsten C(1), Sagoo GS, Frodsham AJ, Burke W, Higgins JP.",
562,956,27535,Ultrasound monitoring to detect access stenosis in hemodialysis patients: a systematic review.,Ultrasound monitoring to detect access stenosis in hemodialysis patients: a systematic review.,"Tonelli M; James M; Wiebe N; Jindal K; Hemmelgarn B; Alberta Kidney Disease Network; American Journal of Kidney Diseases, 2008 Apr; 51 (4): 630-40. (journal article - research, systematic review, tables/charts) ISSN: 0272-6386 PMID: 18371539 CINAHL AN: 200988685","Tonelli M(1), James M, Wiebe N, Jindal K, Hemmelgarn B; Alberta Kidney Disease Network.",
563,959,27555,Impact of EMG-triggered neuromuscular stimulation of the wrist and finger extensors of the paretic hand after stroke: a systematic review of the literature.,Impact of EMG-triggered neuromuscular stimulation of the wrist and finger extensors of the paretic hand after stroke: a systematic review of the literature.,"Meilink A; Hemmen B; Seelen HAM; Kwakkel G; Clinical Rehabilitation, 2008 Apr; 22 (4): 291-305. (journal article - research, systematic review, tables/charts) ISSN: 0269-2155 PMID: 18390973 CINAHL AN: 200988573","Meilink A(1), Hemmen B, Seelen HA, Kwakkel G.",
564,960,27556,Meta-analysis of 13 randomized controlled trials comparing bimatoprost with latanoprost in patients with elevated intraocular pressure.,Meta-analysis of 13 randomized controlled trials comparing bimatoprost with latanoprost in patients with elevated intraocular pressure.,"Cheng J; Wei R; Clinical Therapeutics, 2008 Apr; 30 (4): 622-32. (journal article - equations & formulas, research, systematic review, tables/charts) ISSN: 0149-2918 PMID: 18498911 CINAHL AN: 200993802","Cheng JW(1), Wei RL.",
565,963,27560,Antidepressants in short-term treatment of binge eating disorder: Systematic review and meta-analysis.,Antidepressants in short-term treatment of binge eating disorder: systematic review and meta-analysis.,"Stefano SC; Bacaltchuk J; Blay SL; AppolinÃ¡rio JC; Eating Behaviors, 2008 Apr; 9 (2): 129-36. (journal article - research, systematic review) ISSN: 1471-0153 PMID: 18329590 CINAHL AN: 200989016","Stefano SC(1), Bacaltchuk J, Blay SL, AppolinÃ¡rio JC.",
566,964,27569,Azithromycin vs. benzathine penicillin G for early syphilis: a meta-analysis of randomized clinical trials.,Azithromycin vs. benzathine penicillin G for early syphilis: a meta-analysis of randomized clinical trials.,"Bai ZG; Yang KH; Liu YL; Tian JH; Ma B; Mi DH; Jiang L; Tan JY; Gai QY; International Journal of STD & AIDS, 2008 Apr; 19 (4): 217-21. (journal article - research, systematic review) ISSN: 0956-4624 PMID: 18482937 CINAHL AN: 200993287","Bai ZG(1), Yang KH, Liu YL, Tian JH, Ma B, Mi DH, Jiang L, Tan JY, Gai QY.",
567,965,27571,Catheter-related bloodstream infections in intensive care units: a systematic review with meta-analysis.,Catheter-related bloodstream infections in intensive care units: a systematic review with meta-analysis.,"Ramritu P; Halton K; Cook D; Whitby M; Graves N; Journal of Advanced Nursing, 2008 Apr; 62 (1): 3-21. (journal article - research, systematic review, tables/charts) ISSN: 0309-2402 PMID: 18352960 CINAHL AN: 200988054","Ramritu P(1), Halton K, Cook D, Whitby M, Graves N.",
568,966,27573,Safety and tolerability of angiotensin-converting enzyme inhibitor versus the combination of angiotensin-converting enzyme inhibitor and angiotensin receptor blocker in patients with left ventricular dysfunction: a systematic review and meta-analysis of randomized controlled trials.,Safety and tolerability of angiotensin-converting enzyme inhibitor versus the combination of angiotensin-converting enzyme inhibitor and angiotensin receptor blocker in patients with left ventricular dysfunction: a systematic review and meta-analysis of randomized controlled trials.,"Lakhdar R; Al-Mallah MH; Lanfear DE; Journal of Cardiac Failure, 2008 Apr; 14 (3): 181-8. (journal article - research, systematic review) ISSN: 1071-9164 PMID: 18381180 CINAHL AN: 200988835","Lakhdar R(1), Al-Mallah MH, Lanfear DE.",
569,967,27581,Correlates of hepatitis C virus seropositivity in prison inmates: a meta-analysis.,Correlates of hepatitis C virus seropositivity in prison inmates: a meta-analysis.,"Vescio MF; Longo B; Babudieri S; Starnini G; Carbonara S; Rezza G; Monarca R; Journal of Epidemiology & Community Health, 2008 Apr; 62 (4): 305-13. (journal article - research, systematic review, tables/charts) ISSN: 0143-005X PMID: 18339822 CINAHL AN: 200990865","Vescio MF(1), Longo B, Babudieri S, Starnini G, Carbonara S, Rezza G, Monarca R.",
570,969,27584,Antihypertensive medication and their impact on cancer incidence: a mixed treatment comparison meta-analysis of randomized controlled trials.,Antihypertensive medication and their impact on cancer incidence: a mixed treatment comparison meta-analysis of randomized controlled trials.,"Coleman CI; Baker WL; Kluger J; White CM; Journal of Hypertension, 2008 Apr; 26 (4): 622-9. (journal article - research, systematic review, tables/charts) ISSN: 0263-6352 PMID: 18327066 CINAHL AN: 200988836","Coleman CI(1), Baker WL, Kluger J, White CM.",
571,970,27589,Meta-analysis of treatment need for temporomandibular disorders in adult nonpatients.,Meta-analysis of treatment need for temporomandibular disorders in adult nonpatients.,"Al-Jundi MA; John MT; Setz JM; SzentpÃ©tery A; Kuss O; Journal of Orofacial Pain, 2008 Spring; 22 (2): 97-107. (journal article - research, systematic review, tables/charts) ISSN: 1064-6655 PMID: 18548838 CINAHL AN: 200994638","Al-Jundi MA(1), John MT, Setz JM, SzentpÃ©tery A, Kuss O.",
572,971,27592,Bee venom acupuncture for musculoskeletal pain: a review.,Bee venom acupuncture for musculoskeletal pain: a review.,"Lee MS; Pittler MH; Shin BC; Kong JC; Ernst E; Journal of Pain, 2008 Apr; 9 (4): 289-97. (journal article - research, systematic review) ISSN: 1526-5900 PMID: 18226968 CINAHL AN: 200989329","Lee MS(1), Pittler MH, Shin BC, Kong JC, Ernst E.",
573,974,27695,Effects of robot-assisted therapy on upper limb recovery after stroke: a systematic review.,Effects of robot-assisted therapy on upper limb recovery after stroke: a systematic review.,"Kwakkel G; Kollen BJ; Krebs HI; Neurorehabilitation & Neural Repair, 2008 Mar-Apr; 22 (2): 111-21. (journal article - research, systematic review) ISSN: 1545-9683 PMID: 17876068 CINAHL AN: 200981619","Kwakkel G(1), Kollen BJ, Krebs HI.",
574,975,27605,Vitamin D and calcium intake in relation to risk of endometrial cancer: a systematic review of the literature.,Vitamin D and calcium intake in relation to risk of endometrial cancer: a systematic review of the literature.,"McCullough ML; Bandera EV; Moore DF; Kushi LH; Preventive Medicine, 2008 Apr; 46 (4): 298-302. (journal article - research, systematic review, tables/charts) ISSN: 0091-7435 PMID: 18155758 CINAHL AN: 200990876","McCullough ML(1), Bandera EV, Moore DF, Kushi LH.",
575,976,27609,Averaged and depth-dependent anisotropy of articular cartilage by microscopic imaging.,Averaged and depth-dependent anisotropy of articular cartilage by microscopic imaging.,"Xia Y; Seminars in Arthritis & Rheumatism, 2008 Apr; 37 (5): 317-27. (journal article - research, systematic review, tables/charts) ISSN: 0049-0172 PMID: 17888496 CINAHL AN: 200989311",Xia Y(1).,
576,979,27973,No advantages of Gamma nail over sliding hip screw in the management of peritrochanteric hip fractures: a meta-analysis of randomized controlled trials.,No advantages of Gamma nail over sliding hip screw in the management of peritrochanteric hip fractures: a meta-analysis of randomized controlled trials.,"Jiang S; Jiang L; Zhao C; Dai L; Disability & Rehabilitation, 2008; 30 (7): 493-7. (journal article - research, systematic review, tables/charts) ISSN: 0963-8288 PMID: 17852303 CINAHL AN: 200988159","Jiang SD(1), Jiang LS, Zhao CQ, Dai LY.",
577,980,27520,The effectiveness of exercise interventions for people with Parkinson's disease: a systematic review and meta-analysis.,The effectiveness of exercise interventions for people with Parkinson's disease:  a systematic review and meta-analysis.,"Goodwin VA; Richards SH; Taylor RS; Taylor AH; Campbell JL; Movement Disorders, 2008 Apr 15; 23 (5): 631-40. (journal article - research, systematic review) ISSN: 0885-3185 PMID: 18181210 CINAHL AN: 200991065","Goodwin VA(1), Richards SH, Taylor RS, Taylor AH, Campbell JL.",
578,983,27374,Cholesterol as a risk factor for dementia and cognitive decline: a systematic review of prospective studies with meta-analysis.,Cholesterol as a risk factor for dementia and cognitive decline: a systematic review of prospective studies with meta-analysis.,"Anstey KJ; Lipnicki DM; Low LF; American Journal of Geriatric Psychiatry, 2008 May; 16 (5): 343-54. (journal article - research, systematic review) ISSN: 1064-7481 PMID: 18448847 CINAHL AN: 200991738","Anstey KJ(1), Lipnicki DM, Low LF.",
579,984,27383,Systemic antifungal prophylaxis for very low birthweight infants: a systematic review.,Systemic antifungal prophylaxis for very low birthweight infants: a systematic review.,"Clerihew L; Austin N; McGuire W; Archives of Disease in Childhood -- Fetal & Neonatal Edition, 2008 May; 93 (3): F198-200. (journal article - research, systematic review) ISSN: 1359-2998 PMID: 17768155 CINAHL AN: 200991481","Clerihew L(1), Austin N, McGuire W.",
580,985,27384,Does aquatic exercise relieve pain in adults with neurologic or musculoskeletal disease? A systematic review and meta-analysis of randomized controlled trials.,Does aquatic exercise relieve pain in adults with neurologic or musculoskeletal disease? A systematic review and meta-analysis of randomized controlled trials.,"Hall J; Swinkels A; Briddon J; McCabe CS; Archives of Physical Medicine & Rehabilitation, 2008 May; 89 (5): 873-83. (journal article - research, systematic review) ISSN: 0003-9993 PMID: 18452734 CINAHL AN: 200991519","Hall J(1), Swinkels A, Briddon J, McCabe CS.",
581,986,27391,Indoor air pollution from unprocessed solid fuel use and pneumonia risk in children aged under five years: a systematic review and meta-analysis.,Indoor air pollution from unprocessed solid fuel use and pneumonia risk in children aged under five years: a systematic review and meta-analysis.,"Dherani M; Pope D; Mascarenhas M; Smith KR; Weber M; Bruce N; Bulletin of the World Health Organization, 2008 May; 86 (5): 390-A. (journal article - research, systematic review) ISSN: 0042-9686 PMID: 18545742 CINAHL AN: 200993375","Dherani M(1), Pope D, Mascarenhas M, Smith KR, Weber M, Bruce N.",
582,987,27393,A meta-analysis of marijuana and alcohol use by socio-economic status in adolescents aged 10-15 years.,A meta-analysis of marijuana and alcohol use by socio-economic status in adolescents aged 10-15 years.,"Lemstra M; Bennett NR; Neudorf C; Kunst A; Nannapaneni U; Warren LM; Kershaw T; Scott CR; Canadian Journal of Public Health, 2008 May-Jun; 99 (3): 172-7. (journal article - equations & formulas, research, systematic review, tables/charts) ISSN: 0008-4263 PMID: 18615935 CINAHL AN: 200995945","Lemstra M(1), Bennett NR, Neudorf C, Kunst A, Nannapaneni U, Warren LM, Kershaw T, Scott CR.",
583,989,27401,"Efficacy and tolerability of alosetron for the treatment of irritable bowel syndrome in women and men: a meta-analysis of eight randomized, placebo-controlled, 12-week trials.","Efficacy and tolerability of alosetron for the treatment of irritable bowel syndrome in women and men: a meta-analysis of eight randomized, placebo-controlled, 12-week trials.","Rahimi R; Nikfar S; Abdollahi M; Clinical Therapeutics, 2008 May; 30 (5): 884-901. (journal article - research, systematic review, tables/charts) ISSN: 0149-2918 PMID: 18555935 CINAHL AN: 200996128","Rahimi R(1), Nikfar S, Abdollahi M.",
584,991,27402,Impact of impedance threshold devices on cardiopulmonary resuscitation: a systematic review and meta-analysis of randomized controlled studies.,Impact of impedance threshold devices on cardiopulmonary resuscitation: a systematic review and meta-analysis of randomized controlled studies.,"Cabrini L; Beccaria P; Landoni G; Biondi-Zoccai GG; Sheiban I; Cristofolini M; Fochi O; Maj G; Zangrillo A; Critical Care Medicine, 2008 May; 36 (5): 1625-32. (journal article - meta analysis, research, systematic review) ISSN: 0090-3493 PMID: 18434910 CINAHL AN: 200992019","Cabrini L(1), Beccaria P, Landoni G, Biondi-Zoccai GG, Sheiban I, Cristofolini M, Fochi O, Maj G, Zangrillo A.",
585,998,27418,Cardiovascular events and re-stenosis following administration of G-CSF in acute myocardial infarction: systematic review and meta-analysis.,Cardiovascular events and re-stenosis following administration of G-CSF in acute  myocardial infarction: systematic review and meta-analysis.,"Ince H; Valgimigli M; Petzsch M; de Lezo JS; Kuethe F; Dunkelmann S; Biondi-Zoccai G; Nienaber CA; Heart, 2008 May; 94 (5): 610-6. (journal article - research, systematic review) ISSN: 1355-6037 PMID: 17761504 CINAHL AN: 200991231","Ince H(1), Valgimigli M, Petzsch M, de Lezo JS, Kuethe F, Dunkelmann S, Biondi-Zoccai G, Nienaber CA.",
586,999,27438,A review of the evidence comparing the human papillomavirus vaccine versus condoms in the prevention of human papillomavirus infections.,A review of the evidence comparing the human papillomavirus vaccine versus condoms in the prevention of human papillomavirus infections.,"Miksis S; JOGNN: Journal of Obstetric, Gynecologic & Neonatal Nursing, 2008 May-Jun; 37 (3): 329-37. (journal article - research, systematic review, tables/charts) ISSN: 0884-2175 PMID: 18507603 CINAHL AN: 200993986",Miksis S(1).,
587,1000,27439,Does dietary counseling improve quality of life in cancer patients? A systematic review and meta-analysis.,Does dietary counseling improve quality of life in cancer patients? A systematic  review and meta-analysis.,"Halfdanarson TR; Thordardottir EO; West CP; Jatoi A; Journal of Supportive Oncology, 2008 May-Jun; 6 (5): 234-7. (journal article - research, systematic review) ISSN: 1544-6794 PMID: 18551861 CINAHL AN: 200994207","Halfdanarson TR(1), Thordardottir E, West CP, Jatoi A.",
588,1004,27414,Treating tobacco dependence among African Americans: a meta-analytic review.,Treating tobacco dependence among African Americans: a meta-analytic review.,"Webb MS; Health Psychology, 2008 May; 27 (3): Supplement: S271-82. (journal article - equations & formulas, research, systematic review, tables/charts) ISSN: 0278-6133 PMID: 18979980 CINAHL AN: 200998052",Webb MS(1).,
589,1005,27362,Screening for osteoporosis in men: a systematic review for an American College of Physicians guideline.,Screening for osteoporosis in men: a systematic review for an American College of Physicians guideline.,"Liu H; Paige NM; Goldzweig CL; Wong E; Zhou A; Suttorp MJ; Munjas B; Orwoll E; Shekelle P; Annals of Internal Medicine, 2008 May 6; 148 (9): 685-701, I-35. (journal article - consumer/patient teaching materials, research, systematic review, tables/charts) ISSN: 0003-4819 PMID: 18458282 CINAHL AN: 200992099","Liu H(1), Paige NM, Goldzweig CL, Wong E, Zhou A, Suttorp MJ, Munjas B, Orwoll E, Shekelle P.",
590,1006,27462,Pelargonium sidoides for acute bronchitis: a systematic review and meta-analysis.,Pelargonium sidoides for acute bronchitis: a systematic review and meta-analysis.,"Agbabiaka TB; Guo R; Ernst E; Phytomedicine, 2008 May; 15 (5): 378-85. (journal article - research, systematic review) ISSN: 0944-7113 PMID: 18222667 CINAHL AN: 200996060","Agbabiaka TB(1), Guo R, Ernst E.",
591,1009,27265,Vitamin D supplementation in early childhood and risk of type 1 diabetes: a systematic review and meta-analysis.,Vitamin D supplementation in early childhood and risk of type 1 diabetes: a systematic review and meta-analysis.,"Zipitis CS; Akobeng AK; Archives of Disease in Childhood, 2008 Jun; 93 (6): 512-7. (journal article - research, systematic review) ISSN: 0003-9888 PMID: 18339654 CINAHL AN: 200993999","Zipitis CS(1), Akobeng AK.",
592,1019,27315,Anti-infective-treated central venous catheters for total parenteral nutrition or chemotherapy: a systematic review.,Anti-infective-treated central venous catheters for total parenteral nutrition or chemotherapy: a systematic review.,"NiÃ«l-Weise BS; Stijnen T; van den Broek PJ; Journal of Hospital Infection, 2008 Jun; 69 (2): 114-23. (journal article - research, systematic review, tables/charts) ISSN: 0195-6701 PMID: 18439717 CINAHL AN: 200997668","NiÃ«l-Weise BS(1), Stijnen T, van den Broek PJ.",
593,1020,27316,Effect of antihypertensive agents on cerebral blood flow and flow velocity in acute ischaemic stroke: systematic review of controlled studies.,Effect of antihypertensive agents on cerebral blood flow and flow velocity in acute ischaemic stroke: systematic review of controlled studies.,"Sare GM; Gray LJ; Bath PM; Journal of Hypertension, 2008 Jun; 26 (6): 1058-64. (journal article - research, systematic review) ISSN: 0263-6352 PMID: 18475140 CINAHL AN: 200994167","Sare GM(1), Gray LJ, Bath PM.",
594,1028,27246,Motor cortex stimulation for chronic pain: systematic review and meta-analysis of the literature.,Motor cortex stimulation for chronic pain: systematic review and meta-analysis of the literature.,"Lima MC; Fregni F; Neurology, 2008 Jun 10; 70 (24 Part 1): 2329-37. (journal article - research, systematic review) ISSN: 0028-3878 PMID: 18541887 CINAHL AN: 200995259","Lima MC(1), Fregni F.",
595,1029,27234,Efficacy of in-hospital multidimensional interventions of secondary prevention after acute coronary syndrome: a systematic review and meta-analysis.,Efficacy of in-hospital multidimensional interventions of secondary prevention after acute coronary syndrome: a systematic review and meta-analysis.,"Auer R; Gaume J; Rodondi N; Cornuz J; Ghali WA; Circulation, 2008 Jun 17; 117 (24): 3109-17. (journal article - research, systematic review) ISSN: 0009-7322 PMID: 18541742 CINAHL AN: 200995724","Auer R(1), Gaume J, Rodondi N, Cornuz J, Ghali WA.",
596,1030,27226,Tracking of blood pressure from childhood to adulthood: a systematic review and meta-regression analysis.,Tracking of blood pressure from childhood to adulthood: a systematic review and meta-regression analysis.,"Chen X; Wang Y; Circulation, 2008 Jun 24; 117 (25): 3171-80. (journal article - research, systematic review) ISSN: 0009-7322 PMID: 18559702 CINAHL AN: 200996199","Chen X(1), Wang Y.",
597,1031,27119,Reducing pressure ulcer incidence through Braden Scale risk assessment and support surface use.,Reducing pressure ulcer incidence through Braden Scale risk assessment and support surface use.,"Comfort EH; Advances in Skin & Wound Care, 2008 Jul; 21 (7): 330-4. (journal article - research, systematic review, tables/charts) ISSN: 1527-7941 PMID: 18600075 CINAHL AN: 200996583",Comfort EH(1).,
598,1032,27126,"Flavonoids, flavonoid-rich foods, and cardiovascular risk: a meta-analysis of randomized controlled trials.","Flavonoids, flavonoid-rich foods, and cardiovascular risk: a meta-analysis of randomized controlled trials.","Hooper L; Kroon PA; Rimm EB; Cohn JS; Harvey I; Le Cornu KA; Ryder JJ; Hall WL; Cassidy A; American Journal of Clinical Nutrition, 2008 Jul; 88 (1): 38-50. (journal article - research, systematic review) ISSN: 0002-9165 PMID: 18614722 CINAHL AN: 200998043","Hooper L(1), Kroon PA, Rimm EB, Cohn JS, Harvey I, Le Cornu KA, Ryder JJ, Hall WL, Cassidy A.",
599,1033,27127,Efficacy of second generation antidepressants in late-life depression: a meta-analysis of the evidence.,Efficacy of second generation antidepressants in late-life depression: a meta-analysis of the evidence.,"Nelson JC; Delucchi K; Schneider LS; American Journal of Geriatric Psychiatry, 2008 Jul; 16 (7): 558-67. (journal article - research, systematic review) ISSN: 1064-7481 PMID: 18591576 CINAHL AN: 201002330","Nelson JC(1), Delucchi K, Schneider LS.",
600,1035,27130,Outcome of single-bundle versus double-bundle reconstruction of the anterior cruciate ligament: a meta-analysis.,Outcome of single-bundle versus double-bundle reconstruction of the anterior cruciate ligament: a meta-analysis.,"Meredick RB; Vance KJ; Appleby D; Lubowitz JH; American Journal of Sports Medicine, 2008 Jul; 36 (7): 1414-21. (journal article - research, systematic review, tables/charts) ISSN: 0363-5465 PMID: 18508977 CINAHL AN: 200997074","Meredick RB(1), Vance KJ, Appleby D, Lubowitz JH.",
601,1037,27161,Prognostic impact of right ventricular involvement in patients with acute myocardial infarction: meta-analysis.,Prognostic impact of right ventricular involvement in patients with acute myocardial infarction: meta-analysis.,"Hamon M; Agostini D; Le Page O; Riddell JW; Hamon M; Critical Care Medicine, 2008 Jul; 36 (7): 2023-33. (journal article - research, systematic review) ISSN: 0090-3493 PMID: 18552681 CINAHL AN: 200997891","Hamon M(1), Agostini D, Le Page O, Riddell JW, Hamon M.",
602,1042,27178,Antibiotic prophylaxis for wound infections in total joint arthroplasty: a systematic review.,Antibiotic prophylaxis for wound infections in total joint arthroplasty: a systematic review.,"AlBuhairan B; Hind D; Hutchinson A; Journal of Bone & Joint Surgery, British Volume, 2008 Jul; 90B (7): 915-9. (journal article - research, systematic review, tables/charts) ISSN: 0301-620X PMID: 18591602 CINAHL AN: 200998410","AlBuhairan B(1), Hind D, Hutchinson A.",
603,1043,27180,Accuracy and surgical impact of magnetic resonance imaging in breast cancer staging: systematic review and meta-analysis in detection of multifocal and multicentric cancer.,Accuracy and surgical impact of magnetic resonance imaging in breast cancer staging: systematic review and meta-analysis in detection of multifocal and multicentric cancer.,"Houssami N; Ciatto S; Macaskill P; Lord SJ; Warren RM; Dixon JM; Irwig L; Journal of Clinical Oncology, 2008 Jul 1; 26 (19): 3248-58. (journal article - research, systematic review) ISSN: 0732-183X PMID: 18474876 CINAHL AN: 200996625","Houssami N(1), Ciatto S, Macaskill P, Lord SJ, Warren RM, Dixon JM, Irwig L.",
